Name,Revision,Languages,Embed Dim,Params,Framework,License,Link
kakaobrain/align-base,e96a37facc7b1f59090ece82293226b817afd6ba,eng_Latn,768.0,176000000.0,PyTorch,,https://huggingface.co/kakaobrain/align-base
Snowflake/snowflake-arctic-embed-xs,742da4f66e1823b5b4dbe6c320a1375a1fd85f9e,eng_Latn,384.0,22600000.0,"Sentence Transformers, PyTorch",apache-2.0,https://huggingface.co/Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-s,d3c1d2d433dd0fdc8e9ca01331a5f225639e798f,eng_Latn,384.0,32200000.0,"Sentence Transformers, PyTorch",apache-2.0,https://huggingface.co/Snowflake/snowflake-arctic-embed-s
Snowflake/snowflake-arctic-embed-m,cc17beacbac32366782584c8752220405a0f3f40,eng_Latn,768.0,109000000.0,"Sentence Transformers, PyTorch",apache-2.0,https://huggingface.co/Snowflake/snowflake-arctic-embed-m
Snowflake/snowflake-arctic-embed-m-long,89d0f6ab196eead40b90cb6f9fefec01a908d2d1,eng_Latn,768.0,137000000.0,"Sentence Transformers, PyTorch",apache-2.0,https://huggingface.co/Snowflake/snowflake-arctic-embed-m-long
Snowflake/snowflake-arctic-embed-l,9a9e5834d2e89cdd8bb72b64111dde496e4fe78c,eng_Latn,1024.0,335000000.0,"Sentence Transformers, PyTorch",apache-2.0,https://huggingface.co/Snowflake/snowflake-arctic-embed-l
Snowflake/snowflake-arctic-embed-m-v1.5,97eab2e17fcb7ccb8bb94d6e547898fa1a6a0f47,eng_Latn,768.0,109000000.0,"Sentence Transformers, PyTorch",apache-2.0,https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v1.5
Snowflake/snowflake-arctic-embed-m-v2.0,f2a7d59d80dfda5b1d14f096f3ce88bb6bf9ebdc,"afr_Latn, ara_Arab, aze_Latn, bel_Cyrl, bul_Cyrl, ben_Beng, cat_Latn, ceb_Latn, ces_Latn, cym_Latn, dan_Latn, deu_Latn, ell_Grek, eng_Latn, spa_Latn, est_Latn, eus_Latn, fas_Arab, fin_Latn, fra_Latn, glg_Latn, guj_Gujr, heb_Hebr, hin_Deva, hrv_Latn, hat_Latn, hun_Latn, hye_Armn, ind_Latn, isl_Latn, ita_Latn, jpn_Jpan, jav_Latn, kat_Geor, kaz_Cyrl, khm_Khmr, kan_Knda, kor_Hang, kir_Cyrl, lao_Laoo, lit_Latn, lav_Latn, mkd_Cyrl, mal_Mlym, mon_Cyrl, mar_Deva, msa_Latn, mya_Mymr, nep_Deva, nld_Latn, pan_Guru, pol_Latn, por_Latn, que_Latn, ron_Latn, rus_Cyrl, sin_Sinh, slk_Latn, slv_Latn, som_Latn, sqi_Latn, srp_Cyrl, swe_Latn, swa_Latn, tam_Taml, tel_Telu, tha_Thai, tgl_Latn, tur_Latn, ukr_Cyrl, urd_Arab, vie_Latn, yor_Latn, zho_Hans",768.0,305000000.0,"Sentence Transformers, PyTorch",apache-2.0,https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v2.0
Snowflake/snowflake-arctic-embed-l-v2.0,edc2df7b6c25794b340229ca082e7c78782e6374,"afr_Latn, ara_Arab, aze_Latn, bel_Cyrl, bul_Cyrl, ben_Beng, cat_Latn, ceb_Latn, ces_Latn, cym_Latn, dan_Latn, deu_Latn, ell_Grek, eng_Latn, spa_Latn, est_Latn, eus_Latn, fas_Arab, fin_Latn, fra_Latn, glg_Latn, guj_Gujr, heb_Hebr, hin_Deva, hrv_Latn, hat_Latn, hun_Latn, hye_Armn, ind_Latn, isl_Latn, ita_Latn, jpn_Jpan, jav_Latn, kat_Geor, kaz_Cyrl, khm_Khmr, kan_Knda, kor_Hang, kir_Cyrl, lao_Laoo, lit_Latn, lav_Latn, mkd_Cyrl, mal_Mlym, mon_Cyrl, mar_Deva, msa_Latn, mya_Mymr, nep_Deva, nld_Latn, pan_Guru, pol_Latn, por_Latn, que_Latn, ron_Latn, rus_Cyrl, sin_Sinh, slk_Latn, slv_Latn, som_Latn, sqi_Latn, srp_Cyrl, swe_Latn, swa_Latn, tam_Taml, tel_Telu, tha_Thai, tgl_Latn, tur_Latn, ukr_Cyrl, urd_Arab, vie_Latn, yor_Latn, zho_Hans",1024.0,568000000.0,"Sentence Transformers, PyTorch",apache-2.0,https://huggingface.co/Snowflake/snowflake-arctic-embed-l-v2.0
bedrock/amazon-titan-embed-text-v1,1,,1536.0,,API,,https://aws.amazon.com/about-aws/whats-new/2023/09/amazon-titan-embeddings-generally-available/
bedrock/amazon-titan-embed-text-v2,1,,1024.0,,API,,https://aws.amazon.com/about-aws/whats-new/2024/04/amazon-titan-text-embeddings-v2-amazon-bedrock/
bedrock/cohere-embed-english-v3,1,eng-Latn,1024.0,,API,,https://cohere.com/blog/introducing-embed-v3
bedrock/cohere-embed-multilingual-v3,1,"afr-Latn, amh-Ethi, ara-Arab, asm-Beng, aze-Latn, bel-Cyrl, bul-Cyrl, ben-Beng, bod-Tibt, bos-Latn, cat-Latn, ceb-Latn, cos-Latn, ces-Latn, cym-Latn, dan-Latn, deu-Latn, ell-Grek, eng-Latn, epo-Latn, spa-Latn, est-Latn, eus-Latn, fas-Arab, fin-Latn, fra-Latn, fry-Latn, gle-Latn, gla-Latn, glg-Latn, guj-Gujr, hau-Latn, haw-Latn, heb-Hebr, hin-Deva, hmn-Latn, hrv-Latn, hat-Latn, hun-Latn, hye-Armn, ind-Latn, ibo-Latn, isl-Latn, ita-Latn, jpn-Jpan, jav-Latn, kat-Geor, kaz-Cyrl, khm-Khmr, kan-Knda, kor-Kore, kur-Arab, kir-Cyrl, lat-Latn, ltz-Latn, lao-Laoo, lit-Latn, lav-Latn, mlg-Latn, mri-Latn, mkd-Cyrl, mal-Mlym, mon-Cyrl, mar-Deva, msa-Latn, mlt-Latn, mya-Mymr, nep-Deva, nld-Latn, nor-Latn, nya-Latn, ori-Orya, pan-Guru, pol-Latn, por-Latn, ron-Latn, rus-Cyrl, kin-Latn, sin-Sinh, slk-Latn, slv-Latn, smo-Latn, sna-Latn, som-Latn, sqi-Latn, srp-Cyrl, sot-Latn, sun-Latn, swe-Latn, swa-Latn, tam-Taml, tel-Telu, tgk-Cyrl, tha-Thai, tuk-Latn, tgl-Latn, tur-Latn, tat-Cyrl, uig-Arab, ukr-Cyrl, urd-Arab, uzb-Latn, vie-Latn, wol-Latn, xho-Latn, yid-Hebr, yor-Latn, zho-Hans, zul-Latn",1024.0,,API,,https://cohere.com/blog/introducing-embed-v3
BAAI/bge-small-en-v1.5,5c38ec7c405ec4b44b94cc5a9bb96e735b38267a,eng_Latn,512.0,33400000.0,"Sentence Transformers, PyTorch",mit,https://huggingface.co/BAAI/bge-small-en-v1.5
BAAI/bge-base-en-v1.5,a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,eng_Latn,768.0,109000000.0,"Sentence Transformers, PyTorch",mit,https://huggingface.co/BAAI/bge-base-en-v1.5
BAAI/bge-large-en-v1.5,d4aa6901d3a41ba39fb536a557fa166f842b0e09,eng_Latn,1024.0,335000000.0,"Sentence Transformers, PyTorch",mit,https://huggingface.co/BAAI/bge-large-en-v1.5
BAAI/bge-small-zh,1d2363c5de6ce9ba9c890c8e23a4c72dce540ca8,zho_Hans,512.0,33400000.0,"Sentence Transformers, PyTorch",mit,https://huggingface.co/BAAI/bge-small-zh
BAAI/bge-base-zh,0e5f83d4895db7955e4cb9ed37ab73f7ded339b6,zho_Hans,768.0,109000000.0,"Sentence Transformers, PyTorch",mit,https://huggingface.co/BAAI/bge-base-zh
BAAI/bge-large-zh,b5d9f5c027e87b6f0b6fa4b614f8f9cdc45ce0e8,zho_Hans,1024.0,335000000.0,"Sentence Transformers, PyTorch",mit,https://huggingface.co/BAAI/bge-large-zh
BAAI/bge-small-en,4778d71a06863076696b03fd2777eb118712cad8,eng_Latn,512.0,33400000.0,"Sentence Transformers, PyTorch",mit,https://huggingface.co/BAAI/bge-small-en
BAAI/bge-base-en,b737bf5dcc6ee8bdc530531266b4804a5d77b5d8,eng_Latn,768.0,109000000.0,"Sentence Transformers, PyTorch",mit,https://huggingface.co/BAAI/bge-base-en
BAAI/bge-large-en,abe7d9d814b775ca171121fb03f394dc42974275,eng_Latn,1024.0,335000000.0,"Sentence Transformers, PyTorch",mit,https://huggingface.co/BAAI/bge-large-en
BAAI/bge-small-zh-v1.5,7999e1d3359715c523056ef9478215996d62a620,zho_Hans,512.0,33400000.0,"Sentence Transformers, PyTorch",mit,https://huggingface.co/BAAI/bge-small-zh-v1.5
BAAI/bge-base-zh-v1.5,f03589ceff5aac7111bd60cfc7d497ca17ecac65,zho_Hans,768.0,109000000.0,"Sentence Transformers, PyTorch",mit,https://huggingface.co/BAAI/bge-base-zh-v1.5
BAAI/bge-large-zh-v1.5,79e7739b6ab944e86d6171e44d24c997fc1e0116,zho_Hans,1024.0,335000000.0,"Sentence Transformers, PyTorch",mit,https://huggingface.co/BAAI/bge-large-zh-v1.5
BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,"afr_Latn, amh_Ethi, azj_Latn, ast_Latn, azj_Latn, ben_Beng, bul_Cyrl, bel_Cyrl, cat_Latn, ceb_Latn, ckb_Arab, dan_Latn, deu_Latn, ell_Grek, eng_Latn, est_Latn, fin_Latn, fra_Latn, glg_Latn, guj_Gujr, heb_Hebr, hin_Deva, ita_Latn, jpn_Jpan, kor_Hang, rus_Cyrl, tha_Thai, ukr_Cyrl, zho_Hans",4096.0,568000000.0,"Sentence Transformers, PyTorch",mit,https://huggingface.co/BAAI/bge-m3
BAAI/bge-multilingual-gemma2,992e13d8984fde2c31ef8a3cb2c038aeec513b8a,"eng_Latn, zho_Hans, kor_Hang, kor_Latn, fra_Latn, jpn_Jpan, jpn_Latn",3584.0,9240000000.0,"Sentence Transformers, PyTorch",https://ai.google.dev/gemma/terms,https://huggingface.co/BAAI/bge-multilingual-gemma2
BAAI/bge-en-icl,971c7e1445cc86656ca0bd85ed770b8675a40bb5,eng_Latn,4096.0,7110000000.0,"Sentence Transformers, PyTorch",apache-2.0,https://huggingface.co/BAAI/bge-en-icl
manu/bge-m3-custom-fr,ed3ef88678ba83ddf4c0fab71a93cb90d89a9078,,1024.0,567754752.0,"PyTorch, Sentence Transformers",,https://huggingface.co/manu/bge-m3-custom-fr
Salesforce/blip2-opt-2.7b,51572668da0eb669e01a189dc22abe6088589a24,eng_Latn,768.0,3740000000.0,PyTorch,mit,https://huggingface.co/Salesforce/blip2-opt-2.7b
Salesforce/blip2-opt-6.7b-coco,0d580de59320a25a4d2c386387bcef310d5f286e,eng_Latn,768.0,7750000000.0,PyTorch,mit,https://huggingface.co/Salesforce/blip2-opt-6.7b-coco
Salesforce/blip-image-captioning-large,2227ac38c9f16105cb0412e7cab4759978a8fd90,eng_Latn,768.0,470000000.0,PyTorch,bsd-3-clause,https://huggingface.co/Salesforce/blip-image-captioning-large
Salesforce/blip-image-captioning-base,89b09ea1789f7addf2f6d6f0dfc4ce10ab58ef84,eng_Latn,768.0,247000000.0,PyTorch,bsd-3-clause,https://huggingface.co/Salesforce/blip-image-captioning-base
Salesforce/blip-vqa-base,c7df8e7cd7aa2ee9af18f56e2b29e59a92651b64,eng_Latn,768.0,247000000.0,PyTorch,bsd-3-clause,https://huggingface.co/Salesforce/blip-vqa-base
Salesforce/blip-vqa-capfilt-large,e53f95265aeab69013fabb5380500ab984adbbb4,eng_Latn,768.0,247000000.0,PyTorch,bsd-3-clause,https://huggingface.co/Salesforce/blip-vqa-capfilt-large
Salesforce/blip-itm-base-coco,7eaa90c11850c0b17fc38c6a11e7d88bd6ac231f,eng_Latn,768.0,247000000.0,PyTorch,bsd-3-clause,https://huggingface.co/Salesforce/blip-itm-base-coco
Salesforce/blip-itm-large-coco,fef05cafc05298067cbbca00b125749394a77a6f,eng_Latn,768.0,470000000.0,PyTorch,bsd-3-clause,https://huggingface.co/Salesforce/blip-itm-large-coco
Salesforce/blip-itm-base-flickr,1de29e660d91ae1786c1876212ea805a22eab251,eng_Latn,768.0,247000000.0,PyTorch,bsd-3-clause,https://huggingface.co/Salesforce/blip-itm-base-flickr
Salesforce/blip-itm-large-flickr,bda12e6506758f54261b5ab174b2c55a3ba143fb,eng_Latn,768.0,470000000.0,PyTorch,bsd-3-clause,https://huggingface.co/Salesforce/blip-itm-large-flickr
bm25s,0_1_10,eng_Latn,,,,,https://github.com/xhluca/bm25s
openai/clip-vit-large-patch14,32bd64288804d66eefd0ccbe215aa642df71cc41,eng_Latn,768.0,428000000.0,PyTorch,,https://huggingface.co/openai/clip-vit-large-patch14
openai/clip-vit-base-patch32,3d74acf9a28c67741b2f4f2ea7635f0aaf6f0268,eng_Latn,512.0,151000000.0,PyTorch,,https://huggingface.co/openai/clip-vit-base-patch32
openai/clip-vit-base-patch16,57c216476eefef5ab752ec549e440a49ae4ae5f3,eng_Latn,512.0,151000000.0,PyTorch,,https://huggingface.co/openai/clip-vit-base-patch16
codesage/codesage-large-v2,6e5d6dc15db3e310c37c6dbac072409f95ffa5c5,"python-Code, javascript-Code, go-Code, ruby-Code, java-Code, php-Code",2048.0,1300000000.0,PyTorch,apache-2.0,https://huggingface.co/codesage/codesage-large-v2
codesage/codesage-base-v2,92eac4f44c8674638f039f1b0d8280f2539cb4c7,"python-Code, javascript-Code, go-Code, ruby-Code, java-Code, php-Code",1024.0,356000000.0,PyTorch,apache-2.0,https://huggingface.co/codesage/codesage-base-v2
codesage/codesage-small-v2,4844c2f24b25e181aa43ca058cc73dd2622565c1,"python-Code, javascript-Code, go-Code, ruby-Code, java-Code, php-Code",1024.0,130000000.0,PyTorch,apache-2.0,https://huggingface.co/codesage/codesage-small-v2
jxm/cde-small-v1,8d5736163718a8b65cd787b75ed61020d18bad3c,eng_Latn,768.0,281000000.0,Sentence Transformers,mit,https://huggingface.co/jxm/cde-small-v1
jxm/cde-small-v2,a7e5882ad52c27ea2831fc8258f24379c25cb459,eng_Latn,768.0,306000000.0,Sentence Transformers,mit,https://huggingface.co/jxm/cde-small-v1
Cohere/Cohere-embed-multilingual-v3.0,1,"afr-Latn, amh-Ethi, ara-Arab, asm-Beng, aze-Latn, bel-Cyrl, bul-Cyrl, ben-Beng, bod-Tibt, bos-Latn, cat-Latn, ceb-Latn, cos-Latn, ces-Latn, cym-Latn, dan-Latn, deu-Latn, ell-Grek, eng-Latn, epo-Latn, spa-Latn, est-Latn, eus-Latn, fas-Arab, fin-Latn, fra-Latn, fry-Latn, gle-Latn, gla-Latn, glg-Latn, guj-Gujr, hau-Latn, haw-Latn, heb-Hebr, hin-Deva, hmn-Latn, hrv-Latn, hat-Latn, hun-Latn, hye-Armn, ind-Latn, ibo-Latn, isl-Latn, ita-Latn, jpn-Jpan, jav-Latn, kat-Geor, kaz-Cyrl, khm-Khmr, kan-Knda, kor-Kore, kur-Arab, kir-Cyrl, lat-Latn, ltz-Latn, lao-Laoo, lit-Latn, lav-Latn, mlg-Latn, mri-Latn, mkd-Cyrl, mal-Mlym, mon-Cyrl, mar-Deva, msa-Latn, mlt-Latn, mya-Mymr, nep-Deva, nld-Latn, nor-Latn, nya-Latn, ori-Orya, pan-Guru, pol-Latn, por-Latn, ron-Latn, rus-Cyrl, kin-Latn, sin-Sinh, slk-Latn, slv-Latn, smo-Latn, sna-Latn, som-Latn, sqi-Latn, srp-Cyrl, sot-Latn, sun-Latn, swe-Latn, swa-Latn, tam-Taml, tel-Telu, tgk-Cyrl, tha-Thai, tuk-Latn, tgl-Latn, tur-Latn, tat-Cyrl, uig-Arab, ukr-Cyrl, urd-Arab, uzb-Latn, vie-Latn, wol-Latn, xho-Latn, yid-Hebr, yor-Latn, zho-Hans, zul-Latn",512.0,,API,,https://cohere.com/blog/introducing-embed-v3
Cohere/Cohere-embed-english-v3.0,1,eng-Latn,1024.0,,API,,https://cohere.com/blog/introducing-embed-v3
Cohere/Cohere-embed-multilingual-light-v3.0,1,"afr-Latn, amh-Ethi, ara-Arab, asm-Beng, aze-Latn, bel-Cyrl, bul-Cyrl, ben-Beng, bod-Tibt, bos-Latn, cat-Latn, ceb-Latn, cos-Latn, ces-Latn, cym-Latn, dan-Latn, deu-Latn, ell-Grek, eng-Latn, epo-Latn, spa-Latn, est-Latn, eus-Latn, fas-Arab, fin-Latn, fra-Latn, fry-Latn, gle-Latn, gla-Latn, glg-Latn, guj-Gujr, hau-Latn, haw-Latn, heb-Hebr, hin-Deva, hmn-Latn, hrv-Latn, hat-Latn, hun-Latn, hye-Armn, ind-Latn, ibo-Latn, isl-Latn, ita-Latn, jpn-Jpan, jav-Latn, kat-Geor, kaz-Cyrl, khm-Khmr, kan-Knda, kor-Kore, kur-Arab, kir-Cyrl, lat-Latn, ltz-Latn, lao-Laoo, lit-Latn, lav-Latn, mlg-Latn, mri-Latn, mkd-Cyrl, mal-Mlym, mon-Cyrl, mar-Deva, msa-Latn, mlt-Latn, mya-Mymr, nep-Deva, nld-Latn, nor-Latn, nya-Latn, ori-Orya, pan-Guru, pol-Latn, por-Latn, ron-Latn, rus-Cyrl, kin-Latn, sin-Sinh, slk-Latn, slv-Latn, smo-Latn, sna-Latn, som-Latn, sqi-Latn, srp-Cyrl, sot-Latn, sun-Latn, swe-Latn, swa-Latn, tam-Taml, tel-Telu, tgk-Cyrl, tha-Thai, tuk-Latn, tgl-Latn, tur-Latn, tat-Cyrl, uig-Arab, ukr-Cyrl, urd-Arab, uzb-Latn, vie-Latn, wol-Latn, xho-Latn, yid-Hebr, yor-Latn, zho-Hans, zul-Latn",384.0,,API,,https://cohere.com/blog/introducing-embed-v3
Cohere/Cohere-embed-english-light-v3.0,1,eng-Latn,384.0,,API,,https://cohere.com/blog/introducing-embed-v3
embed-multilingual-v3.0-v,1,,1024.0,,,,https://huggingface.co/Cohere/Cohere-embed-multilingual-v3.0
embed-english-v3.0-v,1,eng-Latn,1024.0,,,,https://huggingface.co/Cohere/Cohere-embed-english-v3.0
colbert-ir/colbertv2.0,c1e84128e85ef755c096a95bdb06b47793b13acf,eng_Latn,,110000000.0,"PyLate, ColBERT",mit,https://huggingface.co/colbert-ir/colbertv2.0
jinaai/jina-colbert-v2,4cf816e5e2b03167b132a3c847a9ecd48ba708e1,"ara-Arab, ben-Beng, deu-Latn, spa-Latn, eng-Latn, fas-Arab, fin-Latn, fra-Latn, hin-Deva, ind-Latn, jpn-Jpan, kor-Kore, rus-Cyrl, swa-Latn, tel-Telu, tha-Thai, yor-Latn, zho-Hans, nld-Latn, ita-Latn, por-Latn, vie-Latn",,559000000.0,"PyLate, ColBERT",cc-by-nc-4.0,https://huggingface.co/jinaai/jina-colbert-v2
facebook/dinov2-small,ed25f3a31f01632728cabb09d1542f84ab7b0056,eng_Latn,384.0,22100000.0,PyTorch,apache-2.0,https://huggingface.co/facebook/dinov2-small
facebook/dinov2-base,f9e44c814b77203eaa57a6bdbbd535f21ede1415,eng_Latn,768.0,86600000.0,PyTorch,apache-2.0,https://huggingface.co/facebook/dinov2-base
facebook/dinov2-large,47b73eefe95e8d44ec3623f8890bd894b6ea2d6c,eng_Latn,1024.0,304000000.0,PyTorch,apache-2.0,https://huggingface.co/facebook/dinov2-large
facebook/dinov2-giant,611a9d42f2335e0f921f1e313ad3c1b7178d206d,eng_Latn,1536.0,1140000000.0,PyTorch,apache-2.0,https://huggingface.co/facebook/dinov2-giant
intfloat/multilingual-e5-large-instruct,baa7be480a7de1539afce709c8f13f833a510e0a,"afr_Latn, amh_Latn, ara_Latn, asm_Latn, aze_Latn, bel_Latn, bul_Latn, ben_Latn, ben_Beng, bre_Latn, bos_Latn, cat_Latn, ces_Latn, cym_Latn, dan_Latn, deu_Latn, ell_Latn, eng_Latn, epo_Latn, spa_Latn, est_Latn, eus_Latn, fas_Latn, fin_Latn, fra_Latn, fry_Latn, gle_Latn, gla_Latn, glg_Latn, guj_Latn, hau_Latn, heb_Latn, hin_Latn, hin_Deva, hrv_Latn, hun_Latn, hye_Latn, ind_Latn, isl_Latn, ita_Latn, jpn_Latn, jav_Latn, kat_Latn, kaz_Latn, khm_Latn, kan_Latn, kor_Latn, kur_Latn, kir_Latn, lat_Latn, lao_Latn, lit_Latn, lav_Latn, mlg_Latn, mkd_Latn, mal_Latn, mon_Latn, mar_Latn, msa_Latn, mya_Latn, nep_Latn, nld_Latn, nob_Latn, orm_Latn, ori_Latn, pan_Latn, pol_Latn, pus_Latn, por_Latn, ron_Latn, rus_Latn, san_Latn, snd_Latn, sin_Latn, slk_Latn, slv_Latn, som_Latn, sqi_Latn, srp_Latn, sun_Latn, swe_Latn, swa_Latn, tam_Latn, tam_Taml, tel_Latn, tel_Telu, tha_Latn, tgl_Latn, tur_Latn, uig_Latn, ukr_Latn, urd_Latn, urd_Arab, uzb_Latn, vie_Latn, xho_Latn, yid_Latn, zho_Hant, zho_Hans",1024.0,560000000.0,"GritLM, PyTorch",mit,https://huggingface.co/intfloat/multilingual-e5-large-instruct
intfloat/e5-mistral-7b-instruct,07163b72af1488142a360786df853f237b1a3ca1,"eng_Latn, fra_Latn, deu_Latn, ita_Latn, spa_Latn",4096.0,7111000000.0,"GritLM, PyTorch",mit,https://huggingface.co/intfloat/e5-mistral-7b-instruct
zeta-alpha-ai/Zeta-Alpha-E5-Mistral,c791d37474fa6a5c72eb3a2522be346bc21fbfc3,eng_Latn,4096.0,7110660096.0,PyTorch,mit,https://huggingface.co/zeta-alpha-ai/Zeta-Alpha-E5-Mistral
intfloat/multilingual-e5-small,fd1525a9fd15316a2d503bf26ab031a61d056e98,"afr_Latn, amh_Latn, ara_Latn, asm_Latn, aze_Latn, bel_Latn, bul_Latn, ben_Latn, ben_Beng, bre_Latn, bos_Latn, cat_Latn, ces_Latn, cym_Latn, dan_Latn, deu_Latn, ell_Latn, eng_Latn, epo_Latn, spa_Latn, est_Latn, eus_Latn, fas_Latn, fin_Latn, fra_Latn, fry_Latn, gle_Latn, gla_Latn, glg_Latn, guj_Latn, hau_Latn, heb_Latn, hin_Latn, hin_Deva, hrv_Latn, hun_Latn, hye_Latn, ind_Latn, isl_Latn, ita_Latn, jpn_Latn, jav_Latn, kat_Latn, kaz_Latn, khm_Latn, kan_Latn, kor_Latn, kur_Latn, kir_Latn, lat_Latn, lao_Latn, lit_Latn, lav_Latn, mlg_Latn, mkd_Latn, mal_Latn, mon_Latn, mar_Latn, msa_Latn, mya_Latn, nep_Latn, nld_Latn, nob_Latn, orm_Latn, ori_Latn, pan_Latn, pol_Latn, pus_Latn, por_Latn, ron_Latn, rus_Latn, san_Latn, snd_Latn, sin_Latn, slk_Latn, slv_Latn, som_Latn, sqi_Latn, srp_Latn, sun_Latn, swe_Latn, swa_Latn, tam_Latn, tam_Taml, tel_Latn, tel_Telu, tha_Latn, tgl_Latn, tur_Latn, uig_Latn, ukr_Latn, urd_Latn, urd_Arab, uzb_Latn, vie_Latn, xho_Latn, yid_Latn, zho_Hant, zho_Hans",384.0,118000000.0,"Sentence Transformers, PyTorch",mit,https://huggingface.co/intfloat/multilingual-e5-small
intfloat/multilingual-e5-base,d13f1b27baf31030b7fd040960d60d909913633f,"afr_Latn, amh_Latn, ara_Latn, asm_Latn, aze_Latn, bel_Latn, bul_Latn, ben_Latn, ben_Beng, bre_Latn, bos_Latn, cat_Latn, ces_Latn, cym_Latn, dan_Latn, deu_Latn, ell_Latn, eng_Latn, epo_Latn, spa_Latn, est_Latn, eus_Latn, fas_Latn, fin_Latn, fra_Latn, fry_Latn, gle_Latn, gla_Latn, glg_Latn, guj_Latn, hau_Latn, heb_Latn, hin_Latn, hin_Deva, hrv_Latn, hun_Latn, hye_Latn, ind_Latn, isl_Latn, ita_Latn, jpn_Latn, jav_Latn, kat_Latn, kaz_Latn, khm_Latn, kan_Latn, kor_Latn, kur_Latn, kir_Latn, lat_Latn, lao_Latn, lit_Latn, lav_Latn, mlg_Latn, mkd_Latn, mal_Latn, mon_Latn, mar_Latn, msa_Latn, mya_Latn, nep_Latn, nld_Latn, nob_Latn, orm_Latn, ori_Latn, pan_Latn, pol_Latn, pus_Latn, por_Latn, ron_Latn, rus_Latn, san_Latn, snd_Latn, sin_Latn, slk_Latn, slv_Latn, som_Latn, sqi_Latn, srp_Latn, sun_Latn, swe_Latn, swa_Latn, tam_Latn, tam_Taml, tel_Latn, tel_Telu, tha_Latn, tgl_Latn, tur_Latn, uig_Latn, ukr_Latn, urd_Latn, urd_Arab, uzb_Latn, vie_Latn, xho_Latn, yid_Latn, zho_Hant, zho_Hans",768.0,278000000.0,"Sentence Transformers, PyTorch",mit,https://huggingface.co/intfloat/multilingual-e5-base
